batch_size,image_size,epochs,learning_rate,val_accuracy,val_loss
8,"(160, 160)",10,0.001,0.7337499856948853,0.7398582696914673
8,"(160, 160)",10,0.001,0.6677083373069763,0.9154829978942871
10,"(100, 100)",6,0.001,0.7275000214576721,0.8001981973648071
10,"(100, 100)",6,0.001,0.7316666841506958,0.7985138893127441
6,"(100, 100)",2,0.001,0.6424999833106995,0.9435318112373352
6,"(100, 100)",6,0.001,0.6625000238418579,0.9455602169036865
12,"(100, 100)",50,0.001,0.7004166841506958,0.8709720969200134
8,"(160, 160)",10,0.001,0.6499999761581421,0.9566258788108826
16,"(160, 160)",3,0.001,0.6458333134651184,0.9620005488395691
16,"(160, 160)",6,0.001,0.6354166865348816,0.9842000603675842
16,"(160, 160)",6,0.001,0.6413333415985107,0.9573713541030884
10,"(160, 160)",3,0.001,0.16099999845027924,1.7919673919677734
10,"(160, 160)",15,0.001,0.621666669845581,1.0126525163650513
10,"(160, 160)",10,0.001,0.6600000262260437,0.9727802872657776
32,"(160, 160)",20,0.0001,0.7755376100540161,0.7322168946266174
